Product Name,Description,Price,Rating,Image,Category
"2023 Newest Upgraded IdeaPad 3 Laptop for Student & Business by Lenovo, 14'' FHD Computer, Intel Core i3-1115G4(Up to 4.1 GHz), 20GB RAM, 1TB SSD, Wi-Fi 6, SD Card Reader, Windows 11, Free HDMI Cable",N/A,389,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71CnwtAKWfL._AC_UY218_.jpg,N/A
"Dell Latitude 7420 FHD Laptop Notebook with Intel Core i7 11th Gen Processor (16GB Ram, 512GB SSD, WiFi, Bluetooth) Windows 11 Pro - Carbon Fiber (Renewed)",N/A,N/A,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61VRqYjVIvL._AC_UY218_.jpg,N/A
"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” FHD Touch Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Stylus, Fingerprint Reader, Windows 10 Home, Bespoke Black, TM420UA-DS52T",N/A,N/A,4.3 out of 5 stars,https://m.media-amazon.com/images/I/716uKzhnAvL._AC_UY218_.jpg,N/A
"LG gram 16” 2in1 Lightweight Laptop, Intel 13th Gen Core i7 Evo Platform, Windows 11 Home, 16GB RAM, 512GB SSD, Black",N/A,"1,269",4.3 out of 5 stars,https://m.media-amazon.com/images/I/717pottSkKL._AC_UY218_.jpg,N/A
"Acer Swift 3 SF314-43-R6NE Laptop | 14"" Full HD IPS | AMD Ryzen 7 5700U Octa-Core Processor | AMD Radeon Graphics | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Fingerprint Reader | Backlit KB | Windows 11",N/A,715,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71Q9lRFU4VL._AC_UY218_.jpg,N/A
"SAMSUNG 14” Galaxy Book3 Pro Laptop Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 512GB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP940XFG-KA2US, Beige",N/A,"1,200",4.3 out of 5 stars,https://m.media-amazon.com/images/I/615XpdZhf3L._AC_UY218_.jpg,N/A
"Lenovo Ideapad 1i Thin Light Laptop, 14.0"" HD Display, Intel Celeron N4020(up to 2.80 GHz), 4GB RAM 64GB eMMC, WiFi 6, Webcam, 10Hr Battery, Windows 11 S, Cloud Grey",N/A,173,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71GFmKlaYiL._AC_UY218_.jpg,N/A
"Enther & MAXHUB Webcam 4k, Webcam with Microphone for Computer with Noise-Canceling Mic, Fast Auto Focus and Full HD Auto Light Correction, Works with Microsoft Teams, Zoom, Skype, Stream",N/A,79,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61nnjPhoHtL._AC_UY218_.jpg,N/A
"Dell 2023 Upgraded Inspiron 16 5620 Laptops for Student & Business, 16'' FHD+(1920 x 1200), Intel 12th Gen Core i5-1235U(10-core), Up to 4.4 GHz, 16GB RAM|1TB SSD, Wi-Fi 6E, USB-C, HDMI, Windows 11",N/A,849,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71sSdXiUOgL._AC_UY218_.jpg,N/A
"ASUS Vivobook 15X OLED Laptop, 15.6” FHD OLED Display, AMD Ryzen™ 7 7730U CPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, S3504YA-DS77",N/A,799,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71K65txwNfL._AC_UY218_.jpg,N/A
"2023 Newest Upgraded Vivobook Laptops for Student & Business by Asus, 14'' HD Computer, Intel Core i3-1115G4(Up to 4.1 GHz), 24GB RAM, 1TB SSD, Light-Weight, USB-C, Wi-Fi, Windows 11|Free HDMI Cable",N/A,409,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71zwEprczGL._AC_UY218_.jpg,N/A
"Microsoft Surface Laptop 4 RYZEN5 16GB RAM 256GB SSD Radeon Graphics 13.5"" PIXELSENSE Platinum (RENEWED)",N/A,499,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41DzZE2MNqL._AC_UY218_.jpg,N/A
"Docking Station, QIYO 16 in 2 USB C Docking Station Dual Monitor for MacBook Pro Air (Not for M1), Dual 4K HDMI, VGA, 6 USB, RJ45 and SD/TF Card Reader, Triple Display for MacOS with Thunderbolt 3",N/A,117,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71udrje72PL._AC_UY218_.jpg,N/A
"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i5-8GB Memory - 512GB SSD - Natural Silver - Mode 14-ek0033dx",N/A,592,4.2 out of 5 stars,https://m.media-amazon.com/images/I/81BLK5ExrbL._AC_UY218_.jpg,N/A
